㟩	man4
㟪	waai1
㟫	cyun4
㟬	saau2
㟭	man4
㟮	daat6
㟰	ming5
㟱	ngau5
㟲	zyun4
㟳	gak3
㟴	fai3
㟵	gong1
㟶	zyun4
㟷	dap3
㟸	gou1
㟹	liu4
㟺	laau4
㟻	cim3
㟼	ngou4
㟽	biu2
㟾	zung4
㟿	mong5
㠀	dou2
㠁	caam1
㠂	ngou4
㠄	zaap6
㠅	fuk1
㠆	daan1
㠇	zau6
㠈	zeon6
㠉	hiu1
㠊	keoi1
㠋	ngok6
㠌	hei1
㠍	caap1
㠎	zaap6
㠏	gwaai3
㠐	caa4
㠑	zeoi6
㠒	biu2
㠓	mung4
㠔	bai3
㠕	waai5
㠖	zi4
㠗	bei1
㠘	zeoi6
㠙	hou4
㠚	deoi3
㠜	zik6
㠝	cyun4
㠟	lai4
㠠	lou4
㠡	muk6
㠢	wai4
㠣	lik6
㠥	leoi6
㠦	fung1
㠧	mei5
㠨	gwaat1
㠩	fong1
㠪	geoi6
㠭	zin2
㠮	pang1
㠯	zyu5
㠱	gei6
㠲	baat6
㠴	zaan6
㠵	fong1
㠶	faan4
㠷	gok3
㠸	fu3
㠹	gaai3
㠺	saa1
㠻	hei1
㠼	si1
㠽	tung4
㠾	zyun1
㠿	zi1
㡀	bai6
㡁	kai2
㡂	lai6
㡃	fong1
㡄	seon1
㡅	no5
㡆	fong1
㡇	zip3
㡈	man6
㡉	zin4
㡊	haap1
㡋	zim1
㡌	mou6
㡎	saam1
㡏	so1
㡐	zin1
㡑	hau1
㡒	zeon1
㡓	kwaan1
㡔	mou6
㡕	zing1
㡖	cong4
㡗	tai4
㡘	lim4
㡙	bei1
㡚	haat6
㡛	mong4
㡜	syut3
㡝	fung6
㡞	laau4
㡟	zou1
㡠	zing3
㡡	cyu4
㡢	maan6
㡣	lung4
㡥	zaan2
㡦	baan1
㡧	coeng1
㡨	cin1
㡩	lyun4
㡫	zi3
㡭	gai3
㡮	gaap6
㡯	dok6
㡰	zyu5
㡱	gaau3
㡲	waan4
㡳	zi2
㡴	kaap1
㡵	ling4
㡶	zi2
㡷	bun2
㡸	zaa3
㡹	zeoi1
㡺	daan3
㡻	liu6
㡼	zi6
㡽	ziu6
㡾	haan6
㡿	cik1
㢀	ci3
㢁	ci2
㢂	zim5
㢃	long4
㢄	cim1
㢅	lung6
㢆	cin4
㢈	teoi4
㢉	caa4
㢊	aai2
㢋	ci2
㢍	zing2
㢎	cap3
㢏	tau4
㢑	teoi4
㢒	caa4
㢓	zoeng3
㢔	cung1
㢕	zung1
㢖	pun1
㢗	hiu1
㢘	him3
㢙	gaan2
㢚	lou5
㢛	zim6
㢜	kong2
㢝	sou1
㢞	zi6
㢟	cin2
㢠	gwing2
㢡	ceoi1
㢣	king4
㢥	dung6
㢦	go1
㢧	gyun2
㢨	hon6
㢩	dik1
㢪	wu1
㢬	wang4
㢭	tou1
㢮	ci4
㢯	deon1
㢰	bei6
㢲	saan1
㢳	lou4
㢴	sai1
㢵	hip3
㢶	bat6
㢸	baat6
㢺	zin2
㢻	waai2
㢼	bit3
㢽	nei6
㢾	gyun3
㣀	zan3
㣁	baai3
㣂	zik6
㣃	zuk6
㣄	keoi4
㣅	zam1
㣆	nei4
㣇	caa3
㣈	si3
㣉	gung1
㣋	daan1
㣌	saam3
㣍	ciu1
㣎	man6
㣏	zing6
㣐	bin3
㣑	zung4
㣒	saang3
㣓	caan3
㣔	ding1
㣘	keoi1
㣙	dek6
㣚	tung2
㣛	dap6
㣜	haang4
㣝	sung1
㣞	dyut6
㣟	hei3
㣠	tou4
㣢	daai1
㣣	saam2
㣤	cin5
㣥	zi6
㣦	wai1
㣧	zaan6
㣪	wun6
㣫	dung2
㣬	cap1
㣭	zung1
㣯	sit3
㣰	sik1
㣱	zak3
㣲	mei4
㣵	taat3
㣶	zin1
㣷	ning6
㣺	sam1
㣻	ngai6
㣼	zaan2
㣽	syu3
㣾	caa3
㣿	coek3
㤁	tim2
㤂	gap1
㤃	fong1
㤄	pui3
㤅	oi3
㤆	faan2
㤇	ou2
㤈	saam3
㤉	kaa3
㤊	haau6
㤋	fan1
㤌	gaam1
㤍	diu6
㤎	go1
㤏	tung4
㤐	tip3
㤑	zaau6
㤒	gou1
㤓	ban6
㤔	fu6
㤕	zeot1
㤖	cyu5
㤘	zaau3
㤙	zaan1
㤚	hong2
㤛	zaam6
㤜	kyut3
㤝	cung1
㤞	caa3
㤟	kung2
㤠	laau4
㤡	lai6
㤢	zuk1
㤣	paang1
㤤	zyu4
㤥	hoi6
㤦	lei6
㤧	hau4
㤨	gung2
㤩	kok3
㤪	wan4
㤫	daak1
㤬	wai6
㤭	giu1
㤮	gwong2
㤯	gwing2
㤰	zok3
㤱	fu3
㤲	hap6
㤳	baak1
㤴	cap3
㤵	ci4
㤶	pong4
㤷	haam4
㤸	zik1
㤹	gaau3
㤺	fong2
㤻	nan2
㤽	cau4
㤾	san3
㤿	jim1
㥀	daak1
㥁	dak1
㥂	tik1
㥃	mun6
㥄	ling4
㥅	sau6
㥆	teoi3
㥇	can1
㥈	dip6
㥉	pei1
㥊	pang4
㥋	zi1
㥌	guk1
㥍	gei6
㥎	laai4
㥏	tin2
㥐	zyun3
㥑	zaau1
㥒	coi2
㥓	zi2
㥔	zuk6
㥕	lin4
㥖	cung1
㥚	zyu4
㥛	gik6
㥜	syut3
㥝	maai5
㥞	seoi6
㥟	kwaai4
㥠	seoi1
㥡	hei3
㥢	zaau1
㥣	wai6
㥤	ging1
㥥	zyu4
㥦	heoi3
㥧	seon6
㥨	ceoi4
㥩	do2
㥪	lau4
㥫	deon1
㥬	pong4
㥭	taai3
㥮	zaau3
㥯	zaan2
㥰	sou1
㥱	fei2
㥲	can1
㥳	zyun4
㥴	zi4
㥵	waan4
㥶	sak1
㥷	aai3
㥸	man5
㥹	baan1
㥺	hap6
㥼	zaan2
㥽	caak3
㥾	nik1
㥿	ngou6
㦀	fung4
㦁	lin4
㦂	soeng4
㦃	can2
㦄	maa4
㦅	daai3
㦆	fu1
㦇	luk6
㦉	ci2
㦊	waa4
㦋	caa1
㦌	fat1
㦍	ngok6
㦎	waak6
㦏	seon2
㦐	nei6
㦑	haam1
㦒	laai4
㦓	zin6
㦔	zim1
㦕	lung4
㦖	mun6
㦗	gaam1
㦘	gik1
㦙	jyu4
㦚	bin2
㦛	zyu5
㦜	waa6
㦝	bok6
㦞	cau4
㦟	fat3
㦡	lok3
㦢	zit3
㦣	at3
㦤	zi3
㦥	hyun1
㦦	hak1
㦧	caam2
㦨	laan5
㦩	zaan2
㦫	zaat3
㦬	lo2
㦭	ling4
㦮	cin4
㦯	waak6
㦰	cim1
㦱	ngo5
㦲	zoi1
㦴	gaak3
㦵	zyu1
㦶	dit6
㦷	zung5
㦸	gik1
㦹	maai5
㦺	zuk6
㦻	zaap6
㦽	guk1
㦾	zi4
㦿	haang6
㧀	gap6
㧁	heoi3
㧂	tin4
㧃	sau1
㧄	kaau4
㧅	muk6
㧆	gaan1
㧇	mou5
㧈	zaan5
㧉	koi3
㧊	put3
㧌	mou6
㧍	fong2
㧎	ngaa4
㧏	gong1
㧐	sung2
㧑	fai1
㧒	leot6
㧓	gwaa1
㧔	gwai3
㧕	lau5
㧖	aak1
㧗	ci2
㧘	zi3
㧙	bit1
㧚	ngaa5
㧛	hin1
㧜	laap3
㧝	gaa1
㧟	kwaai5
㧡	hoi6
㧢	zaan1
㧣	zyu1
㧤	cung3
㧥	sin2
㧦	gwaang1
㧧	so1
㧨	kau4
㧩	pui3
㧪	gwaai2
㧫	zi4
㧬	gung1
㧭	kung4
㧮	bak6
㧯	lou5
㧰	lik6
㧱	naa4
㧲	sam2
㧳	bai1
㧴	ngo5
㧵	bau2
㧶	hang1
㧷	daau2
㧸	paang1
㧹	tik1
㧺	dap6
㧻	doek3
㧼	biu2
㧽	gu3
㧾	fat1
㧿	coeng1
㨀	bing2
㨁	ci5
㨂	ce1
㨃	cang4
㨄	ziu6
㨅	noi6
㨆	lam5
㨇	fuk6
㨈	zai1
㨉	maan5
㨊	waai4
㨋	ze2
㨌	gau3
㨍	bong1
㨎	zyu4
㨏	taan1
㨐	buk1
㨑	zung1
㨒	fui1
㨓	lou4
㨔	haam6
㨕	zing4
㨖	zat1
㨗	zit6
㨘	saang2
㨙	haai4
㨚	seon1
㨛	sim2
㨜	kin4
㨝	sip3
㨞	sou3
㨟	goi1
㨠	mik6
㨡	waan4
